,poi_name,poi_porb,lat,lng
0,香山公园,0.5489061723116982,39.990246,116.18914099999999
1,碧云寺,1.0,39.990246,116.18914099999999
2,潭柘寺,1.0,39.903207,116.03063600000002
3,爨底下,0.6810009105833544,39.972346,115.666665
4,红螺寺,0.8755514831652549,40.383987,116.62604499999999
5,八大处公园,1.0,39.962222,116.182754
6,妙峰山风景名胜区,0.6062256110728286,40.063052621435,116.02618667857
7,灵水村,0.9451228543370382,40.004265000000004,115.73601000000001
8,张各庄银杏林,0.5100771113220502,40.190512333182,116.28875970840001
9,银山塔林,0.5170631649326881,40.319695,116.327859
10,爨柏景区,0.7597286027972181,39.972088936744,115.66138447393
11,云岗森林公园,0.7130081459666138,39.819002000000005,116.160808
