,poi_name,poi_porb,lat,lng
0,文宇奶酪店(南锣鼓巷店),0.5992742417704097,39.937295,116.40319
1,铃木食堂(小菊儿胡同店),0.735727228050697,39.937295,116.40319
2,过客(南锣鼓巷店),0.860511677494583,39.937295,116.40319
3,吉事果(南锣鼓巷店),0.5517903105248935,39.937295,116.40319
4,那家小馆(七九八店),0.6199216551574672,39.985043669153,116.49457381348999
5,那家小馆(植物园店),0.6581560167064475,39.994664,116.21310700000001
6,胡大饭馆(簋街总店),0.9999999999510176,39.941127,116.41953899999999
7,付小姐在成都(南锣鼓巷店),0.7102457292339289,39.933069,116.40231200000001
8,吴裕泰茶庄(前门大街店),0.5787639481428607,39.8978883,116.39816709999998
9,簋街,0.9325573474843476,39.94096,116.42561
10,海底捞火锅(西单店),0.7583024608182584,39.91406,116.37288999999998
11,小吊梨汤(畅春园店),0.6713236767309156,39.988588,116.30415500000001
12,小吊梨汤(中关村店),0.7473935913661245,39.982316,116.328099
13,莫斯科餐厅,0.5727894294124432,39.94015,116.34291
14,南京大牌档(中关村店),0.8658533508149513,39.980233,116.314015
15,金鼎轩南北菜(地坛店),0.877558588170644,39.950817,116.416119
16,海底捞火锅(红庙店),0.7190874926790364,39.916059999999995,116.48241000000002
17,花家怡园(世茂店),0.9811618573906888,39.907714,116.47120600000001
18,旺顺阁鱼头泡饼(大望路店),0.8363559990950771,39.906483,116.477405
19,鹿港小镇(西单大悦城店),0.9973819321507011,39.91105,116.372547
20,张妈妈特色川味馆(安定门店),0.7471477912333448,39.944117999999996,116.40767199999999
21,局气(南站店),0.5077442692356745,39.874932,116.36797
22,港丽餐厅(大悦城店),1.0,39.910720825195,116.37321472168001
23,金鼎轩南北菜(亚运村店),0.7665318907054577,40.002257,116.41298700000002
24,日昌餐馆(地安门总店),0.9492479331594588,39.933269,116.394049
25,北京柳沟碧香苑牛肚豆腐宴,0.6227718106776897,40.444107,116.10161399999998
26,川办餐厅(贡院蜀楼),0.9957093207449884,39.911674499512,116.43175506591999
27,火炉火(五道口店),0.7405374800360853,39.99998,116.34031999999999
28,绿茶(朝阳大悦城店),0.9906436325359173,39.923840000000006,116.51736000000001
29,黑松白鹿(新源里店),0.6336530252631739,39.947093,116.45005900000001
30,印巷小馆(鼓楼店),0.9195873730369364,39.94340133667,116.39566040039
31,西贝莜面村(三元桥店),0.9115834830286528,39.95833,116.456833
32,华天峨嵋酒家(车公庄店),0.5228775959625295,39.93105,116.35368000000001
33,日昌餐馆(东单店),0.9999999999992704,39.912811279296996,116.41834259033001
34,南京大牌档(西直门凯德店),0.7114883472478568,39.942331,116.352553
35,巴黎贝甜(东方新天地店),0.8995826601284941,39.909769020849,116.41205063011999
36,秋栗香(地安门店),0.6933757711739446,39.933052062988,116.39608764648001
37,海底捞火锅(牡丹园店),0.7707554906715205,39.978891,116.36851200000001
38,吴裕泰茶庄(王府井店),0.6712678414452897,39.91157913208,116.41152191161999
39,山东呛面馒头,0.4678000711418686,39.940999,116.402294
40,西单翅酷(西单店),0.6669894243833383,39.909718,116.377771
41,冰糖葫芦,0.5509154304247861,39.947330213508,116.37145968045
42,麻辣诱惑(搜秀店),0.9881180964413884,39.896430969238,116.41926574706999
43,眉州东坡(亚运村店),0.7231735020535157,40.00535,116.4057
44,站点披萨,0.8355156254857985,40.017356872559,116.28567504883002
45,巴依老爷新疆美食,0.6146947808213662,39.985328674316,116.36421203613001
46,马迭尔(前门店),0.5085850462148558,39.894838,116.39834599999999
47,Eimio爱咪欧冻酸奶(南锣26号店),0.9732079986284832,39.938161,116.403299
48,眉州东坡(团结湖店),0.6980465393396315,39.930167,116.470684
49,风波庄(中关村店),0.6435330606409857,39.982601165771,116.32738494873001
50,倒字鸡翅,0.8358740705471259,39.938159999999996,116.4031
51,好伦哥,0.7280020892780966,39.912399291992,116.375
52,郭林家常菜(西直门店),0.5533202162826341,39.93934,116.346162
53,南京大牌档(崇文门国瑞店),0.6464616068152303,39.89905,116.4194
54,三元梅园(西四店),0.7324488797199287,39.921539,116.37334399999999
55,俏江南(东方广场店),0.5893403411540644,39.90913,116.41435
56,将太无二(金泉广场餐厅),0.6251283268389575,40.0059,116.41122
57,金钱豹国际美食百汇,0.5928041257829663,40.005513,116.40398
58,金百万,0.48571066544983,39.952438354492,116.36326599121
59,必胜客(王府井大街店),0.6743436471988152,39.913993901636,116.41183219850001
60,云海肴(三元桥店),0.9128482290503064,39.960571289062,116.45698547363001
61,赛百味(新世界百货宝鼎店),0.4619806689361953,39.896741999999996,116.41786100000002
62,味千拉面(机场T3店),0.8404610838767033,40.057544,116.61518500000001
63,鹿港小镇(中关村店),0.9954850746804637,39.980185,116.31446299999999
64,绿茶餐厅(温特莱店),0.9234926816762696,39.912757873535,116.47756958008002
65,九头鸟酒家(北太平庄店),0.9674018847938051,39.967255,116.37272
66,8号苑秘制火锅(80后主题店),0.7364814507785874,39.913775829926,116.37985423206999
67,宏状元(HZYBJ005学院南路店),0.567028473908333,39.957190000000004,116.33391999999999
68,第1佳大鸡排(南锣鼓巷店),0.586669981361455,39.937340999999996,116.403145
69,太熟悉家常菜(朝阳门店),0.7320276224675937,39.926700592041,116.44200134277
70,蕉叶(中关村店),0.729803214759805,39.981512303546,116.31321273744
71,港丽餐厅(中关村店),1.0,39.981323242188,116.31307220459
72,面爱面(长椿街店),0.4525261712675699,39.898099,116.363078
73,鲜芋仙(五道口店),0.8914346045586825,39.992511,116.33663899999999
74,正一味,0.4389078664280877,39.91325378418,116.47322845459
